발생년,주야,요일,사망자수,사상자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,경도,위도
2012,주간,토,1,1,강원,인제군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,128.3462717,38.04957987
2012,주간,월,1,1,충북,괴산군,차대차,정면충돌,정면충돌,운전자법규위반,안전운전 의무 불이행,127.7032528,36.7486579
2012,주간,토,2,2,경북,경주시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,129.1432091,35.98067263
2012,야간,금,1,1,경남,의령군,차량단독,도로이탈,도로이탈 추락,운전자법규위반,안전운전 의무 불이행,128.3266615,35.37104154
2012,주간,금,1,1,경남,함양군,차대차,측면직각충돌,측면직각충돌,운전자법규위반,신호위반,127.8107622,35.5115339
2012,주간,금,1,2,경기,김포시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,126.6410531,37.67358857
2012,주간,월,1,2,광주,광산구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,126.8083388,35.15694659
2012,주간,화,1,2,경남,고성군,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,128.3660658,35.05920897
2012,야간,화,1,1,전남,영암군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,126.6116946,34.71350779
2012,주간,화,1,1,전남,곡성군,차대차,측면직각충돌,측면직각충돌,운전자법규위반,교차로 통행방법 위반,127.2814016,35.2689307
2012,주간,월,1,1,충북,단양군,차대차,정면충돌,정면충돌,운전자법규위반,교차로 통행방법 위반,128.4866304,37.07447136
2012,야간,월,1,1,경북,울릉군,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,130.8977245,37.47932571
2012,주간,월,1,1,충남,천안시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,127.1519202,36.81921409
2012,야간,토,1,1,경기,가평군,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,127.4125208,37.73500032
2012,주간,금,1,2,충북,괴산군,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,127.8769019,36.81588095
2012,야간,토,1,1,서울,구로구,차대사람,보도통행중,보도통행중,운전자법규위반,기타(운전자법규위반),126.8723756,37.49872643
2012,야간,토,1,1,경북,영천시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,128.9139365,35.98991382
2012,야간,금,1,1,경북,영천시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,128.9139161,36.10298048
2012,야간,목,1,4,충남,보령시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,126.6009876,36.23187592
2012,주간,수,1,1,전남,영광군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,126.5385733,35.23090073
2012,주간,화,1,1,인천,서구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,126.6621452,37.50682338
2012,야간,수,1,1,인천,남동구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,126.7382006,37.40750461
2012,야간,일,1,5,부산,동래구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전거리 미확보,129.0927747,35.19949914
2012,주간,일,1,1,부산,강서구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,128.9452892,35.08953015
2012,야간,일,1,1,충남,홍성군,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,126.6444756,36.55330189
2012,야간,토,1,2,경북,포항시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,129.3538213,36.04763584
2012,야간,토,1,2,강원,춘천시,차대차,정면충돌,정면충돌,운전자법규위반,신호위반,127.7590769,37.83872441
2012,주간,토,1,1,울산,울주군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,129.2938007,35.4921058
2012,야간,금,1,2,서울,서대문구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,126.9444538,37.5884291
2012,주간,목,1,1,강원,춘천시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,127.6098493,38.04940225
2012,야간,수,1,1,울산,북구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,129.3607847,35.58643461
2012,주간,화,1,3,전남,담양군,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,127.0497032,35.35145298
2012,야간,화,1,1,경기,화성시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,127.0373524,37.20482616
2012,주간,일,1,1,전북,전주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,127.0407877,35.87705926
2012,주간,토,1,1,전남,목포시,차대사람,보도통행중,보도통행중,운전자법규위반,기타(운전자법규위반),126.3893795,34.79851068
2012,야간,목,1,2,서울,송파구,차대사람,횡단중,횡단중,운전자법규위반,신호위반,127.1083611,37.49580556
2012,야간,금,1,1,경기,파주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,126.6960388,37.79842883
2012,주간,수,1,1,전북,전주시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,서행 및 일시정지위반,127.1727911,35.83209521
2012,주간,수,2,2,부산,사상구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,129.0064054,35.15240445
2012,주간,화,1,1,부산,강서구,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,128.8288876,35.14471712
2012,주간,토,1,1,전남,영광군,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,126.4387643,35.263419
2012,주간,목,1,1,전북,완주군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,127.1559282,35.74231877
2012,야간,수,1,1,경남,사천시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,128.0750529,35.06703332
2012,주간,화,1,4,경기,안성시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,127.1870245,37.03938264
2012,주간,화,1,1,경기,남양주시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전거리 미확보,127.2354057,37.5593798
2012,주간,월,1,1,서울,서초구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,127.0061459,37.47928813
2012,주간,월,1,1,경기,이천시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,127.4144938,37.21033199
2012,야간,월,1,1,경북,포항시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,129.376952,36.05642542
2012,주간,월,1,1,전남,신안군,차량단독,도로이탈,도로이탈 추락,운전자법규위반,안전운전 의무 불이행,125.9395122,34.6878622
2012,야간,일,1,1,광주,서구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,126.8567247,35.14725837
